name,price,currency,url,image,brand,sku,in_stock
Xiaomi Redmi 15T 12/256GB NFC Grey,"1,299.991,199.99",AZN,https://digitalhome.azhttps://digitalhome.az/products/xiaomi-redmi-15t-12256gb-nfc-grey,https://digitalhome.az/storage/xiaomi-redmi-15t-nfc-grey-300x300.png,,,
Xiaomi Redmi 15T 12/256GB NFC Black,"1,299.991,199.99",AZN,https://digitalhome.azhttps://digitalhome.az/products/xiaomi-redmi-15t-12256gb-nfc-black,https://digitalhome.az/storage/xiaomi-redmi-15t-nfc-black-300x300.webp,,,
Xiaomi Redmi Note 15 8/256GB No NFC Blue,659.99579.99,AZN,https://digitalhome.azhttps://digitalhome.az/products/xiaomi-redmi-note-15-8256gb-no-nfc-blue,https://digitalhome.az/storage/xiaomi-redmi-note-15-no-nfc-blue-300x300.webp,,,
Xiaomi Redmi 15T 12/512GB NFC Black,"1,399.991,299.99",AZN,https://digitalhome.azhttps://digitalhome.az/products/xiaomi-redmi-15t-12512gb-nfc-black,https://digitalhome.az/storage/xiaomi-redmi-15t-nfc-black-300x300.webp,,,
Xiaomi Redmi 15C 4/256GB NFC Green,349.99299.99,AZN,https://digitalhome.azhttps://digitalhome.az/products/xiaomi-redmi-15c-4256gb-nfc-green,https://digitalhome.az/storage/xiaomi-redmi-15c-nfc-green-300x300.png,,,
HONOR X8d 8/256GB Velvet Grey,649.99599.99,AZN,https://digitalhome.azhttps://digitalhome.az/products/honor-x8d-8256gb-velvet-grey,https://digitalhome.az/storage/honor-x8d-velvet-grey-300x300.webp,,,
HONOR X8d 8/128GB Light Blue,599.99549.99,AZN,https://digitalhome.azhttps://digitalhome.az/products/honor-x8d-8128gb-light-blue,https://digitalhome.az/storage/honor-x8d-light-blue-300x300.webp,,,
HONOR X8d 8/256GB Light Blue,649.99599.99,AZN,https://digitalhome.azhttps://digitalhome.az/products/honor-x8d-8256gb-light-blue,https://digitalhome.az/storage/honor-x8d-light-blue-300x300.webp,,,
HONOR X8d 8/128GB Velvet Black,599.99549.99,AZN,https://digitalhome.azhttps://digitalhome.az/products/honor-x8d-8128gb-velvet-black,https://digitalhome.az/storage/honor-x8d-velvet-grey-1-300x300.webp,,,
HONOR X8d 8/128GB Velvet Grey,599.99549.99,AZN,https://digitalhome.azhttps://digitalhome.az/products/honor-x8d-8128gb-velvet-grey,https://digitalhome.az/storage/honor-x8d-velvet-grey-300x300.webp,,,
HONOR X8d 8/256GB Velvet Black,649.99599.99,AZN,https://digitalhome.azhttps://digitalhome.az/products/honor-x8d-8256gb-velvet-black,https://digitalhome.az/storage/honor-x8d-velvet-grey-1-300x300.webp,,,
Samsung Galaxy A26 (A266) 6/128GB Pink,619.99559.99,AZN,https://digitalhome.azhttps://digitalhome.az/products/samsung-galaxy-a26-a266-6128gb-pink,https://digitalhome.az/storage/samsung-galaxy-a26-a266-6-128gb-pink-300x300.webp,,,
Samsung Galaxy A07 (A075) 4/128GB Black,309.99279.99,AZN,https://digitalhome.azhttps://digitalhome.az/products/samsung-galaxy-a07-a075-4128gb-black,https://digitalhome.az/storage/samsung-galaxy-a07-a075-4-128gb-black-300x300.webp,,,
Samsung Galaxy A07 (A075) 4/128GB Green,309.99279.99,AZN,https://digitalhome.azhttps://digitalhome.az/products/samsung-galaxy-a07-a075-4128gb-green,https://digitalhome.az/storage/samsung-galaxy-a07-a075-4-128gb-green-300x300.webp,,,
Samsung Galaxy A07 (A075) 4/128GB Light Violet,309.99279.99,AZN,https://digitalhome.azhttps://digitalhome.az/products/samsung-galaxy-a07-a075-4128gb-light-violet,https://digitalhome.az/storage/samsung-galaxy-a07-a075-4-128gb-light-violet-300x300.webp,,,
Samsung Galaxy A17 (A175) 4/128GB Light Blue,419.99379.99,AZN,https://digitalhome.azhttps://digitalhome.az/products/samsung-galaxy-a17-a175-4128gb-light-blue,https://digitalhome.az/storage/samsung-galaxy-a17-a175-4-128gb-light-blue-300x300.webp,,,
Samsung Galaxy A26 (A266) 6/128GB Light Green,619.99559.99,AZN,https://digitalhome.azhttps://digitalhome.az/products/samsung-galaxy-a26-a266-6128gb-light-green,https://digitalhome.az/storage/samsung-galaxy-a26-a266-ight-green-300x300.png,,,
iPhone 17 Pro 256GB Silver,"3,599.993,249.99",AZN,https://digitalhome.azhttps://digitalhome.az/products/iphone-17-pro-256gb-silver,https://digitalhome.az/storage/iphone-17-pro-256gb-silver-300x300.webp,,,
iPhone 17 Pro 256GB Deep Blue,"3,599.993,249.99",AZN,https://digitalhome.azhttps://digitalhome.az/products/iphone-17-pro-256gb-deep-blue,https://digitalhome.az/storage/iphone-17-pro-256gb-deep-blue-300x300.webp,,,
iPhone 16 128GB White,"2,169.991,969.99",AZN,https://digitalhome.azhttps://digitalhome.az/products/iphone-16-128gb-white,https://digitalhome.az/storage/iphone-16-128gb-white-300x300.png,,,
Infinix Smart 10 4/128GB Silver,269.99239.99,AZN,https://digitalhome.azhttps://digitalhome.az/products/infinix-smart-10-4128gb-silver,https://digitalhome.az/storage/infinix-smart-10-4128gb-silver-1-300x300.webp,,,
