product_id,name,brand,barcode,price_current,price_original,discount_amt,discount_pct,currency,installment_monthly,available,stock_qty,label,category,url,image
11847,Samsung Galaxy A17 8/256GB Gray,Samsung,SM-A175 8/256GB GRAY,459.99,569.99,110.0,,AZN,38.33,LimitedQuantity,8,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/samsung-galaxy-a17-8-256gb-gray-p11847,https://static.elitoptimal.az/ElitOptimal/15fc72a5-42a5-4868-b186-973a0c4fda7a_Thumb.jpeg
11845,Samsung Galaxy S25 Ultra 12/256GB Black,Samsung,SM-S938 12/256GB BLACK,2299.99,2869.99,200.0,8.0,AZN,191.67,LimitedQuantity,6,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/samsung-galaxy-s25-ultra-12-256gb-black-p11845,https://static.elitoptimal.az/ElitOptimal/46eb9735-ed5e-4a0e-be16-386802313ca0_Thumb.png
11843,Samsung Galaxy A56 8/256GB Graphite,Samsung,SM-A566 8/256GB GRAPHITE,849.99,1099.99,100.0,10.5,AZN,70.83,LimitedQuantity,15,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/samsung-galaxy-a56-8-256gb-graphite-p11843,https://static.elitoptimal.az/ElitOptimal/f5b07aae-d86c-4743-b6bc-299100271e1b_Thumb.jpeg
11842,Samsung Galaxy A36 8/256GB Black,Samsung,SM-A366 8/256GB BLACK,699.99,919.99,100.0,12.5,AZN,58.33,InStock,25,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/samsung-galaxy-a36-8-256gb-black-p11842,https://static.elitoptimal.az/ElitOptimal/b292143f-3879-444d-9353-73bd2aa3ed3a_Thumb.png
11841,Samsung Galaxy A36 8/128GB Black,Samsung,SM-A366 8/128 BLACK,639.99,849.99,210.0,,AZN,53.33,LimitedQuantity,4,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/samsung-galaxy-a36-8-128gb-black-p11841,https://static.elitoptimal.az/ElitOptimal/fd7e0431-3d46-490f-8585-336477587f1d_Thumb.png
11838,Samsung Galaxy A26 8/256GB Black,Samsung,SM-A266 8/256GB BLACK,519.99,719.99,120.0,18.8,AZN,43.33,LimitedQuantity,13,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/samsung-galaxy-a26-8-256gb-black-p11838,https://static.elitoptimal.az/ElitOptimal/c1838e67-b161-404d-bfa0-814ca9309f2a_Thumb.png
11837,Samsung Galaxy A17 4/128GB Blue,Samsung,SM-A175 4/128GB BLUE,329.99,419.99,40.0,10.8,AZN,27.5,LimitedQuantity,25,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/samsung-galaxy-a17-4-128gb-blue-p11837,https://static.elitoptimal.az/ElitOptimal/93b352ba-4cba-432d-b1e3-6dc5f79e287e_Thumb.webp
11836,Samsung Galaxy A17 4/128GB Black,Samsung,SM-A175 4/128GB BLACK,329.99,419.99,40.0,10.8,AZN,27.5,LimitedQuantity,26,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/samsung-galaxy-a17-4-128gb-black-p11836,https://static.elitoptimal.az/ElitOptimal/e536b569-a37f-480b-a6a0-6341a726c1bb_Thumb.webp
11835,Samsung Galaxy A07 4/64GB Green,Samsung,SM-A075 4/64GB GREEN,199.99,269.99,30.0,13.0,AZN,16.67,LimitedQuantity,24,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/samsung-galaxy-a07-4-64gb-green-p11835,https://static.elitoptimal.az/ElitOptimal/529685cc-a0a9-4788-b640-eee3d7332768_Thumb.png
11834,Samsung Galaxy A07 4/64GB Black,Samsung,SM-A075 4/64GB BLACK,199.99,269.99,30.0,13.0,AZN,16.67,LimitedQuantity,23,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/samsung-galaxy-a07-4-64gb-black-p11834,https://static.elitoptimal.az/ElitOptimal/f479d6c0-cd07-433d-8f77-b7a08580fdc7_Thumb.webp
11833,Samsung Galaxy A07 4/128GB Green,Samsung,SM-A075 4/128GB GREEN,229.99,309.99,80.0,,AZN,19.17,LimitedQuantity,15,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/samsung-galaxy-a07-4-128gb-green-p11833,https://static.elitoptimal.az/ElitOptimal/44baf820-a62f-42fb-a905-d88290f6fb46_Thumb.png
11832,Samsung Galaxy A07 4/128GB Black,Samsung,SM-A075 4/128GB BLACK,229.99,309.99,80.0,,AZN,19.17,LimitedQuantity,18,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/samsung-galaxy-a07-4-128gb-black-p11832,https://static.elitoptimal.az/ElitOptimal/5db6a2e9-cca4-41df-ae4d-17a2404d1b33_Thumb.webp
11831,Xiaomi Redmi Note 15 8/256GB Black,Xiaomi,REDMI NOTE 15 8/256GB BLACK,499.99,659.99,40.0,7.4,AZN,27.78,LimitedQuantity,10,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/xiaomi-redmi-note-15-8-256gb-black-p11831,https://static.elitoptimal.az/ElitOptimal/7412519d-9be4-4d33-a18e-0272b16ad6e8_Thumb.jpeg
11716,HONOR 400 Lite 8GB/256GB Velvet Gray,Honor,400 LITE 8GB/256GB VELVET GRAY,639.99,719.99,80.0,,AZN,53.33,LimitedQuantity,6,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/honor-400-lite-8gb-256gb-velvet-gray-p11716,https://static.elitoptimal.az/ElitOptimal/c16823fd-7385-41f3-8a24-0dfbf5edd339_Thumb.jpeg
11710,Telefon HONOR X9d 8GB/256GB Reddish Brown,Honor,X9D 8GB/256GB REDDISH BROWN,829.99,899.99,70.0,,AZN,69.17,InStock,17,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-honor-x9d-8gb-256gb-reddish-brown-p11710,https://static.elitoptimal.az/ElitOptimal/55457fed-4012-42ce-8283-4b5339956e57_Thumb.jpeg
11709,Telefon HONOR X9d 8GB/256GB Midnight Black,Honor,X9D 8GB/256GB MIDNIGHT BLACK,829.99,899.99,70.0,,AZN,69.17,InStock,19,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-honor-x9d-8gb-256gb-midnight-black-p11709,https://static.elitoptimal.az/ElitOptimal/01f28358-460a-418a-a388-05eb209d974d_Thumb.jpeg
11691,Telefon Samsung Galaxy A26 8/256GB Mint,Samsung,SM-A266BLGHCAC,519.99,719.99,200.0,,AZN,43.33,LimitedQuantity,1,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-samsung-galaxy-a26-8-256gb-mint-p11691,https://static.elitoptimal.az/ElitOptimal/ddc40134-8862-41d6-9c99-7256ef0cdfd3_Thumb.jpeg
11658,Telefon HONOR X5c 4GB/64GB MIDNIGHT BLACK,Honor,X5C 4GB/64GB MIDNIGHT BLACK,219.99,239.99,20.0,,AZN,18.33,LimitedQuantity,13,,"Smartfonlar, Telefonlar",https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-honor-x5c-4gb-64gb-midnight-black-p11658,https://static.elitoptimal.az/ElitOptimal/35cd2eb4-e286-48a4-b697-60da508ccbd2_Thumb.jpeg
11657,Telefon Xiaomi Redmi 15C 8/256 GB Mint Green,Xiaomi,REDMI 15C 8/256GB MINT GREEN,319.99,389.99,20.0,5.9,AZN,26.67,LimitedQuantity,6,,Xiaomi telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-redmi-15c-8-256-gb-mint-green-p11657,https://static.elitoptimal.az/ElitOptimal/3fe0c343-4e66-4a71-a7ea-8e0c32df3e8a_Thumb.jpeg
11611,Telefon Xiaomi Redmi 15C 8/256 GB Midnight Black,Xiaomi,REDMI 15C 8/256GB MIDNIGHT BLACK,319.99,389.99,20.0,5.9,AZN,26.67,InStock,38,,Xiaomi telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-redmi-15c-8-256-gb-midnight-black-p11611,https://static.elitoptimal.az/ElitOptimal/27c3270c-b2f0-4f9b-9c9f-47d715560f89_Thumb.jpeg
11610,Telefon Xiaomi Redmi 15 8GB/256GB Titanium Gray,Xiaomi,REDMI 15 8/256GB TITANIUM GRAY,369.99,479.99,50.0,11.9,AZN,30.83,LimitedQuantity,31,,Xiaomi telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-redmi-15-8gb-256gb-titanium-gray-p11610,https://static.elitoptimal.az/ElitOptimal/9ae620a4-6c71-4ee7-b27a-d40e501ef65f_Thumb.jpeg
11609,Telefon Xiaomi Redmi 15 8GB/256GB Midnight Black,Xiaomi,REDMI 15 8/256GB MIDNIGHT BLACK,369.99,479.99,50.0,11.9,AZN,30.83,InStock,33,,Xiaomi telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-redmi-15-8gb-256gb-midnight-black-p11609,https://static.elitoptimal.az/ElitOptimal/fe8bc847-bf91-4aee-aa2f-e05c9cc71b3d_Thumb.jpeg
11608,Telefon Xiaomi Redmi Note 14 Pro 8/256 GB Purple,Xiaomi,NOTE 14 PRO NFC 8/256GB PURPLE,569.99,699.99,130.0,,AZN,47.5,LimitedQuantity,1,,Xiaomi telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-xiaomi-redmi-note-14-pro-8-256-gb-purple-p11608,https://static.elitoptimal.az/ElitOptimal/1752c366-9678-40df-a5ce-86a2fe8d280b_Thumb.jpeg
11588,Telefon HONOR X7d 8GB/256GB Velvet Black,Honor,X7D 8GB/256GB VELVET BLACK,479.99,539.99,60.0,,AZN,40.0,LimitedQuantity,6,,Honor telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-honor-x7d-8gb-256gb-velvet-black-p11588,https://static.elitoptimal.az/ElitOptimal/ebe65122-dc86-4b64-9b1a-dcfd225ca451_Thumb.jpeg
11587,Telefon HONOR X7d 8GB/256GB Meteor Silver,Honor,X7D 8GB/256GB METEOR SILVER,479.99,539.99,60.0,,AZN,40.0,LimitedQuantity,11,,Honor telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-honor-x7d-8gb-256gb-meteor-silver-p11587,https://static.elitoptimal.az/ElitOptimal/e94228a7-2d4d-4ae0-9aec-a228f678aae4_Thumb.jpeg
11586,Telefon HONOR X7d 8GB/128GB Velvet Black,Honor,X7D 8GB/128GB VELVET BLACK,429.99,489.99,60.0,,AZN,35.83,LimitedQuantity,14,,Honor telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-honor-x7d-8gb-128gb-velvet-black-p11586,https://static.elitoptimal.az/ElitOptimal/2ece20f6-7629-4aad-a952-30697640d6d7_Thumb.jpeg
11585,Telefon HONOR X7d 8GB/128GB Meteor Silver,Honor,X7D 8GB/128GB METEOR SILVER,429.99,489.99,60.0,,AZN,35.83,LimitedQuantity,15,,Honor telefonları,https://elitoptimal.az/telefonlar-plansetlr-v-qadcetlr/telephone-honor-x7d-8gb-128gb-meteor-silver-p11585,https://static.elitoptimal.az/ElitOptimal/00837c93-a07b-4fc5-bbab-3128c5143ed5_Thumb.jpeg
