product_id,product_code,name,price_current,price_original,discount_pct,currency,installment_6m,installment_12m,installment_18m,in_stock,url,image
105704,91A4TSE,iPhone 17 256 GB Black,2229.99,2599.99,-14%,AZN,371.67,185.83,123.89,Yes,https://irshad.az/az/mehsullar/iphone-17-256-gb-black-2,https://storage.irshad.az/products/resized/2o3zzaKIp5tnfeA9hSB7WFS7dt7WJ24T8AhgWT56.png
108006,K1UN8Y4,Motorola Edge 70 5G 12GB 512GB Bronze Green,1159.99,1299.99,-11%,AZN,193.33,96.67,64.44,Yes,https://irshad.az/az/mehsullar/motorola-edge-70-5g-12gb-512gb-bronze-green,https://storage.irshad.az/products/resized/WSnpKA4CoBj5hlyX50TqRck1yYRPLQls4KqfvotM.jpg
108001,QRL1KHE,Motorola Edge 60 Pro 5G 12GB 512GB SHADOW (green),1349.99,1499.99,-10%,AZN,225,112.50,75,Yes,https://irshad.az/az/mehsullar/motorola-edge-60-pro-5g-12gb-512gb-shadow-green,https://storage.irshad.az/products/resized/RLEwmeU7JgXq8LPb7HvqMosk9PkmT1LpoioUBKmv.jpg
107984,VDKSIYC,Motorola moto G86 Power 5G 8GB 512GB Spellbound (Grey),769.99,849.99,-9%,AZN,128.33,64.17,42.78,Yes,https://irshad.az/az/mehsullar/motorola-moto-g86-power-5g-8gb-512gb-spellbound-grey,https://storage.irshad.az/products/resized/k2qbFyhz81HBYuWWL6ixQi2qjxkFfW9AuAkCFSgt.jpg
107982,J5LIXRG,Motorola moto G56 5G 12GB 256GB Black Oyster (black),569.99,639.99,-11%,AZN,95,47.50,31.67,Yes,https://irshad.az/az/mehsullar/motorola-moto-g56-5g-12gb-256gb-black-oyster-black,https://storage.irshad.az/products/resized/woDVFdPpzx6lDJ5FLtYllRtCzdub5iuIdQ8fcuLE.png
107969,8QVSOQM,Motorola moto G15 NFC 8GB 256GB Iguana Green,379.99,429.99,-12%,AZN,63.33,31.67,21.11,Yes,https://irshad.az/az/mehsullar/motorola-moto-g15-nfc-8gb-256gb-iguana-green-2,https://storage.irshad.az/products/resized/5efqMAeSgBSpVToieVv1NJzrUf7Vm0huvuf4rSwP.jpg
107967,LFPT6QR,Motorola moto G06 NFC 4GB 128GB Laurel Oak (Khaki),259.99,299.99,-13%,AZN,43.33,21.67,14.44,Yes,https://irshad.az/az/mehsullar/motorola-moto-g06-nfc-4gb-128gb-laurel-oak-khaki-2,https://storage.irshad.az/products/resized/rytiUqswsWhJDDt1SNraGvj5r1HV671KMS5olARv.jpg
107958,GWYTYQ3,Motorola moto G06 Power NFC 4GB 256GB Laurel Oak (Khaki),319.99,359.99,-11%,AZN,53.33,26.67,17.78,Yes,https://irshad.az/az/mehsullar/motorola-moto-g06-power-nfc-4gb-256gb-laurel-oak-khaki,https://storage.irshad.az/products/resized/SlQ7eNZ6tw2yqQ04SKYg1rVLT3GSZh4vkcV4ilsV.jpg
107955,CMLZDQV,Motorola moto G06 Power NFC 8GB 256GB Laurel Oak (Khaki),359.99,399.99,-10%,AZN,60,30,20,Yes,https://irshad.az/az/mehsullar/motorola-moto-g06-power-nfc-8gb-256gb-laurel-oak-khaki,https://storage.irshad.az/products/resized/SlQ7eNZ6tw2yqQ04SKYg1rVLT3GSZh4vkcV4ilsV.jpg
107715,ODOBMIW,HONOR X8d 8 GB / 256 GB Light Blue,549.99,649.99,-15%,AZN,91.67,45.83,30.56,Yes,https://irshad.az/az/mehsullar/honor-x8d-8-gb-256-gb-light-blue,https://storage.irshad.az/products/resized/TdLpaXOREJJPUhEhVDIA46fYfg4T8dPqMjiTWiY2.png
107714,CPJMHHC,HONOR X8d 8 GB / 128 GB Velvet Grey,499.99,599.99,-17%,AZN,83.33,41.67,27.78,Yes,https://irshad.az/az/mehsullar/honor-x8d-8-gb-128-gb-velvet-grey,https://storage.irshad.az/products/resized/ZCh6Gdoxb69YqH7Xw2YEEIhMTHXhNO9X4IVlE65L.png
107494,SLSTQWB,Xiaomi Redmi Note 15 Pro+ 5G 12 GB / 512 GB Black,1069.99,1369.99,-22%,AZN,178.33,89.17,59.44,Yes,https://irshad.az/az/mehsullar/xiaomi-redmi-note-15-pro-5g-12-gb-512gb-black-2,https://storage.irshad.az/products/resized/VKetLjoduEKxYWU4IU8cRsYGKkv3JAW7Yk01Nugb.png
107491,AWKE0IS,Xiaomi Redmi Note 15 Pro+ 5G  8 GB / 256 GB Black,899.99,1169.99,-23%,AZN,150,75,50,Yes,https://irshad.az/az/mehsullar/xiaomi-redmi-note-15-pro-5g-8-gb-256-gb-black-4,https://storage.irshad.az/products/resized/VKetLjoduEKxYWU4IU8cRsYGKkv3JAW7Yk01Nugb.png
107490,9HT1FUP,Xiaomi Redmi Note 15 Pro 5G  8 GB / 256 GB Titanium Color,739.99,959.99,-23%,AZN,123.33,61.67,41.11,Yes,https://irshad.az/az/mehsullar/xiaomi-redmi-note-15-pro-5g-8-gb-256-gb-titanium-color-2,https://storage.irshad.az/products/resized/zyxdltxH0QoUvitFKEr8Za6JQ33bDQqaFhfIv11P.png
107484,5KJ0CKA,Xiaomi Redmi Note 15 Pro 12 GB / 512 GB Black,799.99,1019.99,-22%,AZN,133.33,66.67,44.44,Yes,https://irshad.az/az/mehsullar/xiaomi-redmi-note-15-pro-12-gb-512-gb-black-2,https://storage.irshad.az/products/resized/BiNd0w2oapagkFvmHGjchHsLAbLWV0ZIfQCvXkgs.png
107482,WPARCXQ,Xiaomi Redmi Note 15 Pro 8 GB / 256 GB Titanium Color,619.99,819.99,-24%,AZN,103.33,51.67,34.44,Yes,https://irshad.az/az/mehsullar/xiaomi-redmi-note-15-pro-8-gb-256-gb-titanium-color-2,https://storage.irshad.az/products/resized/TMSSTA4S3Lw7ft1yxT5xik1MoVFEEB7MzbaA5oUq.png
107474,0DSLXOA,Xiaomi Redmi Note 15 8 GB / 256 GB Glacier Blue,499.99,659.99,-24%,AZN,83.33,41.67,27.78,Yes,https://irshad.az/az/mehsullar/xiaomi-redmi-note-15-8-gb-256-gb-glacier-blue-2,https://storage.irshad.az/products/resized/lsPY5dRwSOibye9cOVsIIpxYCr2dkY6ZbgF7GekI.png
107461,3FNUAZJ,Poco M8 Pro 12 GB / 512 GB Black,889.99,1069.99,-17%,AZN,148.33,74.17,49.44,Yes,https://irshad.az/az/mehsullar/poco-m8-pro-12-gb-512-gb-black,https://storage.irshad.az/products/resized/lzO85a9KslldRDvFWbQIppyRo7L5glkm67OImcqn.png
107458,1XUTTRW,Poco M8 Pro 8 GB / 256 GB Black,739.99,889.99,-17%,AZN,123.33,61.67,41.11,Yes,https://irshad.az/az/mehsullar/poco-m8-pro-8-gb-256-gb-black,https://storage.irshad.az/products/resized/lzO85a9KslldRDvFWbQIppyRo7L5glkm67OImcqn.png
107454,0M2ZWAH,Poco M8 8 GB / 256 GB Green,549.99,669.99,-18%,AZN,91.67,45.83,30.56,Yes,https://irshad.az/az/mehsullar/poco-m8-8-gb-256-gb-green,https://storage.irshad.az/products/resized/fSoq7KrRPzgBYwVZxttaXTkyBPI0z4YmN59TZP0U.png
