product_id,sku,name,brand,price_current,price_original,discount_amt,currency,installment,in_stock,category,url,image
114042,TM-DG-SBP-1105-SM-3714,iPhone Air 256 GB Sky Blue,Apple,2499.99,2859.99,360,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/iphone-air-256-gb-sky-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3714_1-1e0ec311.webp
97971,TM-DG-SBP-1105-SM-2888,iPhone 16 128 GB Teal,Apple,1899.99,2149.99,250,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/iphone-16-128-gb-teal,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-2888_1.png
97973,TM-DG-SBP-1105-SM-2890,iPhone 16 128 GB White,Apple,1899.99,2149.99,250,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/iphone-16-128-gb-white,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-2890_1.png
97972,TM-DG-SBP-1105-SM-2889,iPhone 16 128 GB Pink,Apple,1899.99,2149.99,250,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/iphone-16-128-gb-pink,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-2889_1-e06e4f42.webp
103571,TM-DG-SBP-1105-SM-3289,Samsung Galaxy S25 (SM-S931B) 12/128 GB Silver,Samsung,1559.99,1919.99,360,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-s25-sm-s931b-12-128-gb-silver,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3289_11-5974a5f3.webp
103558,TM-DG-SBP-1105-SM-3275,Samsung Galaxy S25 Ultra (SM-S938B) 12/256 GB Titanium Black,Samsung,2369.99,2869.99,500,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-s25-sm-s938b-ultra-12-256-gb-titanium-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3275_1_1-2492c8a2.webp
114070,TM-DG-SBP-1105-SM-3742,iPhone 17 Pro Max 256 GB Deep Blue,Apple,3349.99,3899.99,550,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/iphone-17-pro-max-256-gb-deep-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3742_1.png
67870,TM-DG-SBP-1105-SM-2467,iPhone 15 128 GB Black,Apple,1599.99,1899.99,300,AZN,0% 6 ay,Yes,Telefoniya,https://kontakt.az/iphone-15-128-gb-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-2467_1.png
114053,TM-DG-SBP-1105-SM-3725,iPhone 17 Pro 256 GB Silver,Apple,3079.99,3599.99,520,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/iphone-17-pro-256-gb-silver,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3725_1-510376b2.webp
105942,TM-DG-SBP-1105-SM-3447,Samsung Galaxy A56 (SM-A566E) 8/256 GB Black,Samsung,879.99,1099.99,220,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-a56-sm-a566e-8-256-gb-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3447_1-65e71de3.webp
32334,TM-DG-SBP-1105-SM-1927,iPhone 14 128 GB Blue,Apple,1379.99,1599.99,220,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/iphone-14-128-gb-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/e/1/e12eeae2_2-7953d8f2.webp
115075,TM-DG-SBP-1105-SM-3662,Samsung Galaxy A17 (SM-A175) 4/128 GB Black,Samsung,339.99,419.99,80,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-a17-sm-a175-4-128-gb-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3662_1-68c255c2.webp
32335,TM-DG-SBP-1105-SM-1928,iPhone 14 128 GB Midnight,Apple,1379.99,1599.99,220,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/iphone-14-128-gb-midnight,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-1928_12_4-5dfb443d.webp
103556,TM-DG-SBP-1105-SM-3273,Samsung Galaxy S25 Ultra (SM-S938B) 12/256 GB Titanium Gray,Samsung,2369.99,2869.99,500,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-s25-sm-s938b-ultra-12-256-gb-titanium-gray,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3273_1_1-1e544987.webp
106362,TM-DG-SBP-1105-SM-3432,Samsung Galaxy A26 (SM-A266B) 8/256 GB Black,Samsung,599.99,719.99,120,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-a26-sm-a266b-8-256-gb-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3432_1-46397213.webp
32337,TM-DG-SBP-1105-SM-1930,iPhone 14 128 GB Starlight,Apple,1379.99,1599.99,220,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/iphone-14-128-gb-starlight,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-1930_13_1-4885c7f5.webp
117735,TM-DG-SBP-1105-SM-3851,HONOR X9d 8/256 GB Titanium Black,HONOR,669.99,899.99,230,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/honor-x9d-8-256-gb-titanium-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3851_1.png
114022,TM-DG-SBP-1105-SM-3694,iPhone 17 256 GB Black,Apple,2249.99,2599.99,350,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/iphone-17-256-gb-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3694_1.png
109265,TM-DG-SBP-1105-SM-3541,OPPO A5 Pro 8/256 GB Mocha Brown,OPPO,529.99,669.99,140,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/oppo-a5-pro-8-256-gb-mocha-brown,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3541_1.png
109266,TM-DG-SBP-1105-SM-3542,OPPO A5 Pro 8/256 GB Olive Green,OPPO,529.99,669.99,140,AZN,0% 12 ay,Yes,Smartfonlar,https://kontakt.az/oppo-a5-pro-8-256-gb-olive-green,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3542_1.png
121248,TM-DG-SBP-1105-SM-3939,Xiaomi Redmi Note 15 8/256 GB Black,Xiaomi,499.99,659.99,160,AZN,0% 12 ay,Unknown,Smartfonlar,https://kontakt.az/xiaomi-redmi-note-15-8-256-gb-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3939_654-c75457e9.webp
115076,TM-DG-SBP-1105-SM-3663,Samsung Galaxy A17 (SM-A175) 8/256 GB Black,Samsung,459.99,569.99,110,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/samsung-galaxy-a17-sm-a175-8-256-gb-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3663_1.png
122071,TM-DG-SBP-1105-SM-4028,HONOR X8d 8/256 GB Light Blue,HONOR,539.99,649.99,110,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/honor-x8d-8-256-gb-light-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-4028_1-e586b5ee.webp
119774,TM-DG-SBP-1105-SM-3894,RedMagic 11 Pro 16/512 GB SubZero,ZTE,2499.99,2899.99,400,AZN,0% 6 ay,Unknown,Smartfonlar,https://kontakt.az/redmagic-11-pro-16-512-gb-subzero,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3894_1.png
114055,TM-DG-SBP-1105-SM-3727,iPhone 17 Pro 256 GB Deep Blue,Apple,3079.99,3599.99,520,AZN,0% 6 ay,Yes,Smartfonlar,https://kontakt.az/iphone-17-pro-256-gb-deep-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-sbp-1105-sm-3727_1-73d3d82c.webp
